"CaseID","weight1","weight2","weight3","sflag","D1","D2","D3","D4A","D4B","D4C","D4E","D5","D7","D8A","S2","D6","R0","R1_a","R1_b","R1_c","R1_d","R1_e","R1_f","R1_g","R1_h","R1_Refused","R3","R7","H0_a","H0_b","H0_c","H0_d","H0_e","H0_f","H0_g","H0_Refused","H1","H4","H5","H7_a","H7_b","H7_c","H7_d","H7_e","H7_f","H7_Refused","M0","M2","M3","M4","L0","L1_a","L1_b","L1_c","L1_d","L1_e","L1_f","L1_Refused","A0","A0A_a","A0A_b","A0A_c","A0A_d","A0A_e","A0A_f","A0A_g","A0A_h","A0A_Refused","A0B","A1A","A1B","A1C","A2A","A4","C1","C2A","C3","C4A","C4B","C4C","C4D","ED0","ED1","ED3","ED4","ED5","ED6A_a","ED6A_b","ED6A_c","ED6A_d","ED6A_e","ED6A_f","ED8","ED9","ED10","ED11A_a","ED11A_b","ED11A_c","ED11A_d","ED11A_e","ED11A_f","ED12","ED13_a","ED13_b","ED13_c","ED13_d","ED13_e","ED13_f","ED13_g","ED13_Refused","ED14_a","ED14_b","ED14_c","ED14_d","ED14_e","ED14_f","ED14_g","ED14_h","ED14_Refused","ED15","ED16","S7_a","S7_b","S7_c","T0_A1","T0_B1","T0_C1","T0_D1","T0_1_Refused","T0_A2","T0_B2","T0_C2","T0_D2","T0_2_Refused","T0_A3","T0_B3","T0_C3","T0_D3","T0_3_Refused","T1_A1","T1_A2","T1_A3","T1_B1","T1_B2","T1_B3","T1_C1","T1_C2","T1_C3","T1_D1","T1_D2","T1_D3","T1_E1","T1_E2","T1_E3","T2","T2B_1","T2B_2","T2B_3","T2B_4","T2B_5","T2B_6","T5","T7","E1_a","E1_b","E1_c","E1_d","E1_e","E1_f","E2","E4_a","E4_b","E4_c","E4_d","E4_e","E4_f","E4_g","E4_h","E4_i","B2","DOV_B3B4","B3","B4","B5","B6","B7","K0","K1","K1B","K2_b","K2_c","K2_d","K2_e","K2_f","K2_g","K2_h","K2A","K2B","K2C","K14_a","K14_b","K14_c","K14_d","K14_e","K14_f","K14_g","K14_h","K14_Refused","K16","K17","K18","K3_a","K3_b","K3_c","K3_d","K3_e","K3_f","K3_g","K3_h","K3_i","K3_j","K3_k","K3_l","K5A","K8A","K9_a","K9_b","K9_c","K9_d","K9_e","K9_f","K10_a","K10_b","K10_c","K10_d","K10_e","K10_f","K10_g","K10_h","K10_i","K10_j","K10_k","X1","X2_a","X2_b","X2_c","X2_d","X2_e","X2_f","X2_g","X2_h","X2_i","X2_j","X2_Refused","X9","X10","I1","I2","I2A","I3_a","I3_b","I3_c","I3_d","I3_e","I3_f","I3_g","I3_h","I3_i","I3_j","I3_k","I3_Refused","I7","E1B","E1A","E3A_a","E3A_b","E3A_c","E3A_d","E3A_e","E3A_f","E3A_g","E3A_h","E3A_i","E3A_Refused","E3B","ppcmdate","ppage","ppagecat","ppagect4","ppethm","ppgender","pphhhead","pphhsize","pphouse","ppincimp","ppmarit","ppmsacat","ppreg9","pprent","ppstaten","PPT01","PPT25","PPT612","PPT1317","PPT18OV","ppwork","ppnet","sector","control","ppcm0160","ind2","T2B_Refused","T2B_total","S7_total","E1_total","avoidtreatment","insurance","ppreg4"
1098,2.1881,1.7212,2.6922,2,1,1,1,,,3,1,1,1,0,1,2010,,,,,,,,,,,,,0,0,0,0,0,1,0,0,3,4,4,0,0,0,0,0,1,0,1,0,2,1200,,,,,,,,,1,0,0,0,1,0,0,0,0,0,,1,0,1,,3,2,0,,,,,,5,9,,,,,,,,,,2001,2003,4,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,2,6,1,0,0,1,0,0,0,0,,,,,,,,,,,7000,,,150,,,1,,,0,,,0,,,,20000,20000,0,0,0,0,1,,1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,4,4,5,5,1,6,65,1,0,0,0,1,0,0,1,5,,,,,,,,,,,888,888,4,8,0,8,8,1,8,8,1,8,8,8,8,1,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,1,0,,20140523,37,3,2,1,2,1,4,1,12,1,1,6,1,61,0,0,1,1,2,1,1,6,3,12,621000,0,40000,1,0,1,1,3
1099,2.6165,2.0975,2.9108,2,1,1,1,,,3,1,1,1,0,1,2008,,,,,,,,,,,,,1,0,1,1,1,1,0,0,3,4,3,1,1,0,0,0,0,0,1,0,1,2600,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,7,5,,,,,,,,,,1983,1987,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,3,6,0,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,4,4,5,5,2,5,5,62,1,1,1,1,0,0,0,3,,1,,,,,,,,,,10,0,3,1,8,0,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,25,5,0,1,0,1,0,0,1,1,0,0,0,0,2,1,,1,0,0,0,0,0,0,0,0,0,,20140427,48,4,3,3,2,1,2,1,17,1,1,9,1,93,0,0,0,0,2,1,1,2,2,1,611000,0,0,0,2,0,1,4
1100,0.6535,0.5169,0.638,2,1,1,3,,,3,,1,1,0,1,1986,,,,,,,,,,,,,1,1,1,0,1,1,0,0,3,4,3,,,,,,,,1,0,1,1350,,,,,,,,,1,0,0,0,1,0,0,0,0,0,,0,0,0,,1,5,1,0,1,0,1,0,3,8,1970,1972,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,2,2,0,0,1,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,4,3,4,3,4,3,1,,1,0,1,1,1,1,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,25,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,,20140502,66,6,4,1,1,1,2,1,16,1,1,5,1,59,0,0,0,0,2,2,1,1,1,27,492000,0,0,1,1,0,1,3
1102,0.6293,0.4927,0.6151,2,1,8,,,3,,,9,1,0,1,2001,,,,,,,,,,,,,0,0,1,0,0,0,0,0,3,4,3,,,,,,,,0,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,,0,0,0,,1,4,1,1,,,,,5,11,,,,,,,,,,1968,1971,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,2,4,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,2,1,,1,0,0,0,0,0,0,0,0,0,,20140514,72,6,4,1,1,1,2,1,12,1,1,5,1,59,0,0,0,0,2,5,1,9,3,,,0,0,0,2,0,1,3
1104,0.6409,0.5043,0.6708,2,1,1,2,,,3,1,,1,0,1,1999,,,,,,,,,,,,,0,1,1,1,1,1,0,0,2,3,3,,,,,,,,1,0,1,615,,,,,,,,,0,,,,,,,,,,0,,,,,8,4,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,1,2,2,3,3,3,8,888,1,1,1,1,0,0,0,,,,,,,,,,,,,3,3,3,1,1,0,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,15,3,0,1,0,1,0,0,1,0,1,0,0,0,2,1,,1,0,0,0,0,0,0,0,0,0,,20140513,70,6,4,1,2,1,1,1,11,3,1,3,1,35,0,0,0,0,1,1,1,,,22,813100,0,0,0,2,0,1,2
1105,0.3143,0.2492,0.3006,2,1,8,,,3,,,9,1,0,1,2012,,,,,,,,,,,,,0,0,0,0,0,1,0,0,2,3,3,0,1,0,0,0,0,0,1,0,1,888888,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,6,6,,,,,,,,,,1970,1973,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,3,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,2,1,,1,0,1,0,0,0,0,0,0,0,,20140515,74,6,4,1,1,1,2,1,13,1,0,8,1,86,0,0,0,0,2,5,1,3,3,,,0,0,0,2,0,1,4
1106,0.3738,0.2928,0.3713,2,1,8,,,3,,,,-1,-1,1,2009,,,,,,,,,,,,,0,0,0,1,1,0,0,0,1,-1,3,0,0,0,0,0,0,1,-1,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,,0,0,0,,3,2,1,0,1,0,0,0,7,7,,,,,,,,,,1960,1964,-1,1,1,1,0,0,1,2,,,,,,,,,,,,,,,,,,1,8,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,30000,0,5000,0,1,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,,,,,,,,,,,,,,,-1,-1,,0,1,1,0,0,0,0,0,0,0,5,20140520,72,6,4,1,2,1,1,4,11,2,1,2,1,23,0,0,0,0,1,5,1,1,1,,,0,35000,0,-1,0,1,1
1109,0.1684,0.1324,0.0843,2,1,8,,,3,,,,1,0,1,1998,,,,,,,,,,,,,0,0,1,0,1,1,0,0,3,3,3,,,,,,,,1,0,3,951,,,,,,,,,0,,,,,,,,,,0,,,,,8,4,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,1,8,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,3,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,0,1,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,2,1,,1,0,0,0,0,0,0,0,0,0,,20140716,84,7,4,1,2,1,1,1,10,2,0,9,1,92,0,0,0,0,1,5,1,,,,,0,0,0,2,0,1,4
1116,0.2917,0.2277,0.2782,2,1,1,1,,,3,1,9,1,0,1,1975,,,,,,,,,,,,,0,0,0,0,0,0,1,0,3,3,3,,,,,,,,0,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,,0,0,0,,1,5,1,1,,,,,6,1,,,,,,,,,,1966,1970,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,3,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,4,4,3,4,3,4,6,68,1,0,1,1,0,0,0,3,,1,,,,,,,,,,26,3,2,1,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,35,5,0,1,0,1,0,0,0,0,0,0,0,0,3,1,,1,0,0,0,0,0,0,0,0,0,,20140523,65,6,4,1,2,1,2,1,14,1,1,5,1,56,0,0,0,0,2,1,1,2,2,22,623000,0,0,0,2,0,1,3
1119,1.4984,1.183,1.8031,2,1,1,1,,,3,1,8,1,0,1,2004,,,,,,,,,,,,,0,0,1,0,0,0,0,0,2,4,3,,,,,,,,1,0,2,750,,,,,,,,,1,0,0,0,1,0,1,0,0,0,,1,0,0,,1,4,1,0,1,0,1,0,7,9,,,,,,,,,,1992,1997,2,0,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,4,4,1,0,999,1,0,0,0,0,,,,,,,,,,,1250,,,0,,,1,,,1,,,0,,,,0,0,0,0,1250,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,3,3,4,3,4,4,68,1,0,0,1,0,0,0,3,,1,,,,,,,,,,10,10,3,1,1,8,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,25,3,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,,20140425,40,3,2,1,2,1,2,1,11,6,1,5,1,58,0,0,0,0,2,1,1,1,1,9,611000,0,1250,1,0,0,1,3
1124,0.2033,0.1619,0.0979,2,3,7,,,,,,,1,1,1,1996,,,,,,,,,,,,,0,0,1,0,0,0,0,0,2,3,3,,,,,,,,1,0,2,2004,2011,1,0,0,1,0,0,0,0,,,,,,,,,,0,,,,,3,5,1,0,1,1,1,1,6,8,,,,,,,,,,1985,1990,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,2,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5000,0,0,0,1,,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,3,4,3,8,-1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,3,1,0,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,,,,,,,,,,,,,,2,0,0,0,1,0,0,0,0,0,0,0,0,1,20140531,46,4,3,4,1,1,4,1,7,3,1,2,1,21,0,0,1,0,3,7,1,1,1,,,0,5000,0,0,1,1,1
1127,0.9163,0.7135,0.309,2,1,1,1,,,3,2,6,0,0,2,,4,0,0,0,0,1,0,0,0,0,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,,1,0,0,,3,1,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,2,2,1,1,-1,1,0,0,0,0,1,0,0,0,0,,,,,,10000,10000,,0,0,,3,3,,1,0,,0,1,,,0,9500,0,0,0,0,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,3,3,2,2,2,7,999,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,20140524,25,2,1,1,2,0,4,1,3,1,0,2,2,23,0,1,1,0,2,1,1,,,20,453000,0,9500,1,0,1,0,1
1131,0.118,0.1009,0.0843,2,1,6,,3,,,,,1,0,1,2006,,,,,,,,,,,,,1,1,0,1,0,1,0,0,2,3,2,0,1,0,0,0,0,0,1,0,5,350,,,,,,,,,1,0,0,0,0,0,1,0,0,0,,0,0,0,,8,5,1,1,,,,,7,10,,,,,,,,,,1999,2003,5,1,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,6,6,1,3,999,1,0,0,0,0,,,,,,,,,,,0,,,0,,,1,,,0,,,0,,,,0,0,0,30000,20000,0,0,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,3,2,3,2,2,1,1,,0,0,1,0,1,0,0,,,,,,,,,,,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,,20140514,32,2,2,1,2,1,1,3,10,5,1,3,1,33,0,0,0,0,1,1,1,,,10,541100,0,50000,1,2,1,1,2
1132,1.7156,1.3576,2.0102,2,1,1,1,,,2,1,1,1,0,1,2014,,,,,,,,,,,,,0,0,1,1,0,0,0,0,,5,3,0,1,0,0,0,0,0,1,0,2,1700,,,,,,,,,1,1,0,0,0,0,0,0,0,0,,0,0,0,,1,4,1,0,1,0,0,0,9,9,,,,,,,,,,2008,2010,2,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,7,7,1,1,999,1,0,0,0,0,1,0,0,0,0,,,,,,120000,6000,,900,150,,3,1,,0,0,,0,0,,,0,0,10000,0,110000,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,5,5,5,4,4,3,7,999,1,0,0,0,0,0,0,,,,,,,,,,,,,888,888,2,8,1,0,0,1,1,8,1,8,8,8,8,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,10,4,0,0,0,1,0,1,1,0,0,0,0,0,3,1,,1,0,0,0,0,0,0,0,0,0,,20140506,31,2,2,1,2,1,2,1,13,1,1,8,2,88,0,0,0,0,2,1,1,1,1,12,621000,0,120000,1,2,0,1,4
1136,0.2517,0.1951,0.1057,2,1,8,,,3,,,,1,0,2,,3,1,0,0,0,1,0,0,0,0,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,2,5,1,0,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,1,-1,-1,-1,1,-1,0,0,0,1,1,0,0,0,0,1,2,1,3,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,0,0,0,0,,20140428,67,6,4,1,2,1,1,3,5,3,1,9,2,92,0,0,0,0,1,5,1,,,,,0,0,0,0,1,1,4
1137,0.309,0.2422,0.2981,2,1,8,,,3,,,9,1,0,1,2011,,,,,,,,,,,,,0,0,0,0,0,1,0,0,3,4,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,4,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,3,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,3,1,,1,0,1,0,0,0,0,0,0,0,,20140429,61,5,4,1,2,1,2,2,11,1,1,3,1,32,0,0,0,0,2,5,1,,,,,0,0,0,2,0,1,2
1139,0.585,0.4674,0.6971,2,1,5,,,,,,1,1,0,1,2004,,,,,,,,,,,,,0,0,1,0,1,1,0,0,2,4,3,,,,,,,,1,0,1,1250,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,6,7,,,,,,,,,,1987,1992,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,2000,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,5,5,4,5,5,4,8,999,1,0,1,1,1,0,0,,,,,,,,,,,,,,,2,8,8,8,8,1,1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,5,3,0,0,0,0,1,1,1,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,,20140506,45,4,3,1,2,1,4,1,16,1,0,8,1,83,0,0,1,1,2,7,1,1,1,,,0,2000,0,1,0,1,4
1141,0.9829,0.7785,1.1667,2,1,8,,,3,,,3,1,0,1,1992,,,,,,,,,,,,,0,0,0,0,0,1,0,0,3,2,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,4,1,1,,,,,4,8,1980,1982,4,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,2,1,,1,0,1,0,0,0,0,0,0,0,,20140514,57,5,3,1,2,1,2,1,19,1,1,3,1,31,0,0,0,0,2,5,1,,,,,0,0,0,2,0,1,2
1142,1.1051,0.914,0.4574,2,4,3,,,,,,,1,1,1,2009,,,,,,,,,,,,,0,0,0,1,0,0,0,0,2,4,2,0,0,1,0,0,0,0,1,1,2,888888,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,1,0,,2,3,0,,,,,,3,5,-1,1,3,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,2,3,0,3,1,,,,,,,,,,,1,0,0,0,0,,,-1,,,-1,,,-1,,,-1,,,-1,1,0,0,0,0,0,0,3,3,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,1,4,3,2,4,2,3,5,999,1,0,0,1,0,0,0,,,,,,,,,,,,,,,3,0,0,8,1,1,8,0,0,0,8,0,1,3,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,10,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,20140427,22,1,1,4,1,1,8,2,1,5,1,9,3,93,0,0,0,0,8,4,0,,,,,1,,1,0,1,1,4
1143,0.9959,0.7838,1.0729,2,1,1,1,,,3,2,6,1,0,1,2007,,,,,,,,,,,,,1,1,1,0,1,1,0,0,2,3,3,1,0,0,0,0,0,0,1,0,5,2500,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,5,5,,,,,,,,,,2003,2006,2,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,2,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,3,4,4,4,4,5,5,70,1,0,1,1,0,0,0,4,,4,,,,,,,,,,7,3,4,1,8,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,7,4,0,1,0,0,0,0,0,1,0,1,0,0,3,1,,1,0,0,0,0,0,0,0,0,0,,20140425,37,3,2,1,1,1,3,1,16,1,1,5,1,54,1,0,0,0,2,1,1,4,1,10,541500,0,0,0,2,0,1,3
1144,0.8275,0.6543,0.3233,2,1,7,,,,,,1,1,0,1,2007,,,,,,,,,,,,,1,0,0,0,1,1,0,0,1,3,3,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,8,1,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,2,4,2,8,999,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,0,8,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,3,0,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,1,0,0,1,20140508,43,3,2,1,1,1,4,4,5,1,1,5,1,58,0,0,1,0,3,6,1,,,,,0,0,0,0,1,1,3
1145,1.7664,1.4193,1.8966,2,1,1,1,,,3,1,1,1,0,1,1997,,,,,,,,,,,,,0,0,0,0,0,1,0,0,2,3,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,,,,,,,,,,2,1,0,0,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,3,3,3,5,2,3,6,65,1,1,-1,1,-1,-1,1,4,,6,,,,,,,,,,888,888,3,1,0,0,1,1,8,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,,,2,1,,1,0,0,0,0,0,0,0,0,0,,20140510,51,4,3,4,1,1,2,1,14,1,1,8,1,86,0,0,0,0,2,1,1,,,25,611000,0,0,0,2,0,1,4
1147,0.4314,0.337,0.17,2,1,8,,,3,,,-1,1,0,1,1983,,,,,,,,,,,,,1,0,1,0,0,1,0,0,2,4,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,1,,,,,4,11,1974,1979,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,2,1,,1,0,0,0,0,0,0,0,0,0,,20140501,62,5,4,1,1,0,2,1,9,1,1,2,1,23,0,0,0,0,2,5,1,,,,,0,0,0,2,0,1,1
1150,0.3549,0.2863,0.4114,2,1,1,1,,,3,2,6,1,0,1,1991,,,,,,,,,,,,,1,0,0,1,0,1,0,0,3,3,3,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,0,,,,,1,5,1,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,2,3,3,5,3,7,999,1,0,1,1,0,0,0,,,,,,,,,,,,,888,888,4,8,1,8,0,-1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,10,3,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,,20140522,52,4,3,4,1,1,6,1,12,1,0,3,1,34,0,0,2,1,3,1,1,,,25,238000,0,0,0,1,0,1,2
