CaseID,weight_orig,XYEAR,D0,D1,DOV_LIVARR,D2,D3,D4A,D4B,D4C,D5,S1A,S1B,S2,S3,S4,S5,S4A,S5A,S7_a,S7_b,S7_c,S7_d,DOV_SDEBT1,DOV_SDEBT2,DOV_SDEBT3,DOV_SDEBT4,S11,S12,S13A,S13B,S14_a,S14_b,S15,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,R1_Refused,R2,R3A,H0,H1,H4,H5,H6,L1,L2,L1A,L2A,L3,A1A_a,A1A_b,A1A_c,A1B_a,A1B_b,A1B_c,A3,A4,A5,A6,A7,C1,C2_a,C2_b,C3,C4_a,C4_b,C4_c,C4_d,T1_A1,T1_A2,T1_A3,T1_A4,T1_B1,T1_C1,T1_D1,T1_E1,T1_B2,T1_C2,T1_D2,T1_E2,T1_B3,T1_C3,T1_D3,T1_E3,T1_B4,T1_C4,T1_D4,T1_E4,T1A_F1,T1A_F2,T1A_F3,T1A_F4,T1A_G1,T1A_G2,T1A_G3,T1A_G4,T2,T3,T4,T6,T7,T8,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E2,E3,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,E4_g,E4_h,B1_a,B1_b,B2,B3,K0,K1,K2_a,K2_b,K2_c,K2_d,K2_e,K2_f,K2_g,K2_h,K2_Refused,K3_a,K3_b,K3_c,K3_d,K3_e,K3_f,K3_g,K3_h,K3_i,K3_j,K3_k,K3_l,K3_Refused,K4,K5,K6,K7,K8,K9_a,K9_b,K9_c,K9_d,K9_e,K10_a,K10_b,K10_c,K10_d,K10_e,K10_f,K10_g,K10_h,K10_i,K10_j,K10_k,K10_Refused,K11,K12,K13,X1,X2_a,X2_b,X2_c,X2_d,X2_e,X2_f,X2_g,X2_h,X2_i,X2_j,X2_k,X2_Refused,X3,X4_a,X4_b,X4_c,X4_d,X4_e,X4_f,X4_Refused,X5,X6_a,X6_b,X6_c,X6_d,X6_e,X6_f,X6_g,X6_Refused,X7,X8,X9,X10,Y1,Y2,DOV_Y3_Y4,Y3_a,Y3_b,Y3_c,Y3_d,Y3_e,Y3_Refused,Y4_a,Y4_b,Y4_c,Y4_d,Y4_e,Y4_Refused,I1,I2,I3_a,I3_b,I3_c,I3_d,I3_e,I3_f,I3_g,I3_h,I3_i,I3_j,I3_k,I3_Refused,I4,I4A,I5,I6,I6A,I7,I8_a,I8_b,I8_c,I9,I10_a,I10_b,I10_c,I10_d,I10_e,I10_f,I10_g,I10_Refused,DOV_E1A_E1B,E1A,E1B,E3B_a,E3B_b,E3B_c,E3B_d,E3B_e,E3B_f,E3B_g,E3B_h,E3B_i,E3B_Refused,E4B,G1,G2,G3,P3,P4,P5,P6,P7,P8,PPAGE,PPAGECAT,PPAGECT4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,PPREG9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,sector,control,weight,totalstudentloan,A1a,A1b,A1c,normincome,normalincome,income,insurance,avoidtreatment,T6a,studentloans
2178,1.5794,1955,3,2,1,7,,,,,,,1,1,,,,1,1,999,999,999,999,0,0,0,0,4,1,,2,1,0,0,,,,,,,,,,,,2005,3,8,3,,,,,,,,,,1,0,1,0,3,4,2,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,5,5,1,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,8,5,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,13320,,1,16000,,2,0,0,1000,1,,,,,,,,,2,,0,0,0,0,0,1,0,1,1,0,0,0,1,1,,4,1,1,,,1,58,5,3,6,1,1,2,1,3,1,13,1,0,2,4,1,43,0,0,0,0,3,6,1,,,1.7092,0,1,0,1,16000,3,2,1,0,,0
3526,1.6554,1968,1,2,1,7,,,,,1,1,,1,,1,1,,,0,0,0,999,0,0,0,0,4,1,,7,0,0,1,,,,,,,,,,,,2003,1,2,2,1,,,,,,0,0,0,,,,0,8,,2,,3,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,3,2,2,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,5,3,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,0,0,0,0,65000,,1,80000,,2,100,100,800,1,,,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,,,-1,3,1,1,,,2,45,4,3,9,2,1,1,1,6,1,14,1,1,4,8,1,88,0,0,2,1,3,6,1,,,1.7135,0,0,0,0,80000,6,5,1,0,,0
2953,1.2085,1951,1,2,1,1,3,,,3,5,1,,1,,1,0,,,0,0,0,0,0,0,0,0,3,0,,3,0,0,0,,,,,,,,,,,,2009,,3,3,,,,,,,,,0,,,,0,2,2,1,,4,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,3,2,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,,,5,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,,,,,,0,,1,0,3,4,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,26000,,1,36000,,2,0,0,1000,3,0,0,0,0,1,0,0,0,2,,0,0,1,0,0,0,0,0,0,0,0,0,,,,4,1,1,,,2,61,5,4,5,1,1,1,1,3,1,10,1,1,3,5,1,54,0,0,0,0,3,2,1,,,1.0075,0,,,0,36000,4,4,0,1,,0
3644,.2423,1964,1,2,1,1,1,,,,1,1,,1,,1,0,,,0,0,1,0,0,0,1,0,5,1,,9,1,1,8,,,,,,,,,,,,1989,3,3,3,,,,,,,0,1,0,,,,0,1,,2,,4,1,1,0,1,0,1,0,,,1,,,,,,,,,,1,0,0,0,,,,,,,2000,,,,50,,,,,,,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,5,4,3,3,2,7,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,,,,,,,,,1,1,0,0,2,2,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,49000,,1,10000,,1,300,600,100,-1,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,2,,4,1,1,,,1,49,4,3,10,3,1,1,1,3,1,11,1,1,3,7,1,74,0,0,0,1,2,1,1,,,.2176,2000,0,1,0,10000,2,4,1,1,,1
775,.7285,1973,5,1,,7,,,,,,,0,2,0,,,,,0,0,0,0,0,0,0,0,0,0,,9,0,0,0,1,0,0,0,0,0,0,0,0,0,113,,,,,,,,,,,,,,,,0,0,8,,8,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,5,5,2,3,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,0,,1,0,,2,,,,1,,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,1,,,,,4,-1,,,,,40,3,2,9,2,2,1,0,1,1,2,5,1,2,4,2,43,0,0,0,0,1,6,1,,,.4353,0,,,0,0,1,1,1,0,,0
602,.7138,1952,1,4,3,8,,,3,,8,1,,1,,0,,,,0,0,999,999,0,0,0,0,1,0,58,,1,0,0,,,,,,,,,,,,1982,3,4,3,,,,,,,,,0,,,,0,1,,1,,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,17000,,2,,,2,0,1000,0,1,,,,,,,,,2,,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,4,1,1,,,1,61,5,4,12,4,1,2,1,2,1,10,1,1,3,5,1,59,0,0,0,0,2,5,0,,,.6019,0,,,0,17000,3,3,1,0,,0
166,.3468,1950,1,2,1,7,,,,,6,1,,1,,1,1,,,0,0,0,0,0,0,0,0,2,1,,3,1,0,0,,,,,,,,,,,,2003,1,2,2,-1,,,,,,0,0,0,,,,0,1,,1,,5,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,3,3,4,-1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,5,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-1,,,,,,,,0,,,,,,,,,8,,-1,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,58000,,2,,,2,500,0,500,1,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,4,1,1,,,1,63,5,4,9,2,1,1,1,2,2,10,1,1,3,5,1,52,0,0,0,0,2,6,1,,,.2769,0,0,0,0,58000,5,5,1,0,,0
2197,.7843,1936,1,2,1,8,,,3,,8,1,,1,,0,,,,999,999,999,999,0,0,0,0,3,0,59,,0,0,0,,,,,,,,,,,,1975,8,8,3,,,,,,,,,0,,,,0,8,,8,,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,10,0,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,,,,,,,,,8,,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,15000,,2,,,2,500,500,0,1,,,,,,,,,1,1,,1,0,0,0,1,0,0,0,0,0,1,,,,4,1,1,,,1,77,7,4,9,2,1,2,1,2,1,12,1,1,2,3,1,34,0,0,0,0,2,5,0,,,.9683000000000001,0,,,0,15000,3,3,1,0,,0
3165,.5376,1949,1,2,1,8,,,2,,8,1,,1,,0,,,,0,0,0,0,0,0,0,0,2,0,,5,0,0,1,,,,,,,,,,,,1972,3,3,3,,,,,,,,,0,,,,0,1,,1,,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,9,9,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,1,40,0,1,0,1,0,0,1,0,1,0,1,0,80000,,2,,,2,300,700,0,1,,,,,,,,,1,1,,1,0,0,0,0,0,0,0,0,0,1,,,5,2,-1,,,,,63,5,4,13,4,1,2,1,2,1,16,1,1,1,2,1,21,0,0,0,0,2,5,1,,,.6305,0,,,0,80000,6,6,1,0,,0
2432,.2569,1950,1,2,1,8,,,3,,8,1,,1,,0,,,,999,999,999,999,0,0,0,0,3,0,58,,0,0,1,,,,,,,,,,,,1979,2,4,3,,,,,,,,,0,,,,0,1,,1,,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,1,-1,1,-1,-1,-1,-1,-1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,1,15,0,1,0,0,0,0,1,1,0,0,0,0,80000,,2,,,3,500,500,0,1,,,,,,,,,1,1,,1,0,1,0,0,0,0,0,0,0,1,,,5,3,2,,2,1,,63,5,4,12,4,1,1,1,2,1,14,1,1,2,4,1,41,0,0,0,0,2,5,1,,,.2246,0,,,0,80000,6,6,1,0,,0
1485,.816,1952,1,2,1,1,2,,,,8,1,,1,,1,0,,,0,0,0,999,0,0,0,0,2,0,,9,1,0,0,,,,,,,,,,,,2003,2,3,3,,,,,,,,,1,,,,0,3,3,2,,3,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,2,2,2,2,3,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,8,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,3,3,1,0,0,0,1,0,0,,,,,,,3,0,,,,,,,,,,,,,6000,,1,35000,,1,0,500,500,2,0,0,0,1,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,0,4,1,,4,1,1,,,1,61,5,4,10,3,1,2,0,2,1,12,1,1,3,7,1,74,0,0,0,0,2,4,1,,,.7656,0,,,1,35000,4,2,1,1,,0
337,.6912,1943,1,2,1,8,,,2,,2,1,,1,,1,0,,,0,0,0,999,0,0,0,0,2,0,,6,0,0,1,,,,,,,,,,,,1990,1,4,3,,,,,,,,,0,,,,0,1,,1,,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,,9,8,0,,,,,,,,,,,,,0,,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,1,20,0,1,0,0,0,0,1,0,0,1,0,0,100000,,2,,,3,250,750,0,1,,,,,,,,,2,,1,1,0,0,0,0,0,0,0,0,0,1,,,3,3,1,2,,,,70,6,4,13,4,1,2,1,2,1,16,1,1,2,4,1,47,0,0,0,0,2,5,1,,,.8080000000000001,0,,,0,100000,7,7,1,0,,0
205,.6661,1955,1,2,1,1,3,,,3,2,1,,2,0,,,,,0,0,999,999,0,0,0,0,4,0,,9,0,0,8,0,0,0,0,0,1,0,0,0,0,1900,,,,,,,,,,,,,0,,,,0,2,1,1,0,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,5,3,3,1,,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,,0,0,8,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,,,,,,,,,1,1,0,0,2,3,,,,,,,,0,0,0,1,0,0,2,5,0,1,0,0,0,0,1,0,1,0,1,0,60000,,2,,,2,500,500,0,2,0,0,1,1,0,0,0,0,1,1,,1,0,1,0,0,0,0,0,0,0,1,,,,2,1,1,,,2,58,5,3,10,3,1,1,1,2,3,12,1,1,4,9,2,93,0,0,0,0,2,2,1,,,.5931,0,,,0,60000,5,5,1,0,,0
285,1.0028,1977,1,2,1,3,,,,,1,1,,1,,1,8,,,999,999,999,999,0,0,0,0,4,1,,3,0,0,0,,,,,,,,,,,,2013,,4,2,1,,,,,,-1,-1,1,,,,2,3,4,8,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,3,1,2,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,5,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,1,0,0,1,1,0,0,0,0,0,,1,0,3,3,1,1,1,1,1,0,0,,,,,,,2,0,,,,,,,,,,,,,70000,,2,,,2,200,100,700,1,,,,,,,,,1,0,,0,1,0,0,0,0,1,1,0,0,0,,,,4,1,1,,,2,36,3,2,10,3,1,2,1,5,2,11,1,1,3,5,2,54,0,2,1,0,2,7,1,,,.9583,0,-1,-1,1,70000,5,5,1,1,,0
1416,.9801,1969,1,2,1,3,,,,,2,1,,1,,0,,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,,,,,,,,,,,,1994,8,8,3,,,,,,,,,1,,,,0,8,,3,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,8,4,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,,,,,,,,1,3,1,0,3,3,2,,,,,,,0,0,1,0,0,0,3,0,,,,,,,,,,,,,14000,,2,,,2,0,1000,0,1,,,,,,,,,2,,0,0,0,0,0,0,0,0,1,0,0,0,,,,4,2,,2,1,,43,3,2,10,3,1,2,1,3,4,5,1,1,3,5,1,56,0,0,0,1,2,4,1,,,.7612,0,,,1,14000,2,2,0,1,,0
3759,.6659000000000001,1955,1,2,1,1,1,,,,1,1,,1,,0,,,,999,999,999,999,0,0,0,0,0,0,,9,0,0,0,,,,,,,,,,,,2010,,8,3,,,,,,,,,0,,,,0,8,,8,,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,5,3,5,1,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,10,10,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,8,,0,0,8,8,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,4,1,50,,2,0,1000,0,2,0,0,1,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,1,0,1,,,,4,1,1,,,1,58,5,3,9,2,1,2,1,2,1,8,1,0,4,9,1,93,0,0,0,0,2,1,0,,,.6965,0,,,0,50,1,4,1,0,,0
1418,.3103,1951,1,2,1,1,1,,,,1,1,,2,0,,,,,0,0,999,999,0,0,0,0,0,0,,5,1,0,0,1,0,0,0,1,1,0,0,0,1,1600,,,,,,,,,,,,,0,,,,0,2,3,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,3,2,3,2,7,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,9,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,8,,0,0,2,2,,,,,,,,,,,,,,2,2,0,0,0,1,0,1,1,0,0,0,0,0,70000,,2,,,2,0,1000,0,2,0,0,0,1,0,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,0,1,2,2,,3,1,2,,,,61,5,4,10,3,1,1,1,2,1,14,1,1,4,9,2,93,0,0,0,0,2,1,1,,,.3013,0,,,0,70000,5,5,1,0,,0
554,1.4827,1994,5,2,1,6,,3,,,,,0,3,0,,,,,0,999,999,999,0,0,0,0,0,0,,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,4,3,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,5,5,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,1,3,0,1,4,8,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,45000,,2,,,2,100,500,400,3,0,0,0,1,1,0,0,0,1,0,,0,0,0,1,0,1,1,0,0,0,,,,,3,1,1,,,2,19,1,1,7,1,1,1,0,5,4,11,5,1,3,5,1,54,0,0,0,0,5,7,1,,,1.5676,0,,,1,45000,4,4,0,1,,0
1884,1.4084,1978,2,2,1,1,1,,,,1,1,,2,0,,,,,0,0,0,0,0,0,0,0,5,1,,5,1,1,1,0,0,0,0,1,0,0,0,0,0,850,,,,,,,,,,,0,0,-1,,,,0,3,3,2,0,3,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,2,2,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,9,6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,,,,,,,,1,1,1,0,1,1,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,0,0,0,0,0,110000,,2,,,3,0,0,1000,1,,,,,,,,,1,1,,0,0,1,0,0,0,0,0,0,0,0,1,4,5,2,2,,1,,,35,3,2,11,3,1,1,1,2,3,16,6,1,1,2,2,23,0,0,0,0,2,1,1,,,1.8276,0,0,0,-1,110000,7,7,1,0,,0
1579,.3698,1975,1,2,1,1,1,,,,1,1,,1,,1,1,,,0,0,0,999,0,0,0,0,4,1,,4,1,0,1,,,,,,,,,,,,2002,1,4,2,0,,,,,,0,0,0,,,,0,1,,1,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,5,5,3,4,2,6,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,7,5,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,,,,,,,,,1,1,1,0,2,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,65000,,1,100000,,3,0,0,1000,1,,,,,,,,,2,,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,,,2,38,3,2,12,4,1,1,1,4,2,14,1,1,1,2,1,23,0,1,1,0,2,1,1,,,.335,0,0,0,0,100000,7,5,1,1,,0
4133,1.4338,1966,5,1,,1,1,,,,,,1,1,,,,1,0,0,999,999,999,0,0,0,0,3,0,,2,1,1,8,,,,,,,,,,,,1997,2,1,3,,,,,,,,,,,,0,0,1,,1,,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,5,4,2,2,4,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,7,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,,,,,,,,,,,,,,1,25,0,1,0,0,0,0,1,1,0,0,0,0,108000,,2,,,2,300,700,0,1,,,,,,,,,1,1,,1,0,0,0,0,0,0,0,0,0,1,1,3,,3,1,2,,,,47,4,3,14,4,3,2,1,1,1,16,5,1,1,2,1,23,0,0,0,0,1,1,0,,,2.0116,0,,,0,108000,7,7,1,0,,0
3106,.1911,1971,3,1,,1,1,,,,,,1,1,,,,1,0,0,0,0,0,0,0,0,0,2,1,,3,0,0,1,,,,,,,,,,,,2008,2,4,3,,,,,,,,,,1,1,0,2,2,1,2,,4,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,5,4,4,2,5,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,2,0,0,9,7,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,1,0,0,0,2,2,,,,,,,,,,,,,,1,20,0,1,0,1,0,0,0,1,0,0,0,0,130000,,2,,,2,0,0,1000,1,,,,,,,,,1,0,,1,1,0,0,0,0,0,0,0,0,0,,,5,3,2,,2,2,,42,3,2,13,4,1,1,1,2,1,17,1,1,3,6,1,63,0,0,0,0,2,1,1,,,.2318,0,1,1,0,130000,7,7,1,0,,0
4051,.9725,1966,5,1,,1,1,,,,,,1,2,0,,,,,999,999,999,999,0,0,0,0,0,0,,7,0,0,0,1,0,1,0,0,1,0,0,0,2,800,,,,,,,,,,,,,,,,0,0,3,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,5,2,1,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,10,10,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,0,,1,0,2,1,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,12000,,1,24000,,3,200,0,800,1,,,,,,,,,2,,0,0,0,0,0,0,0,0,1,0,0,0,,,,4,1,1,,,2,47,4,3,9,2,1,1,1,1,4,4,5,1,4,9,2,91,0,0,0,0,1,1,1,,,.7683,0,,,0,24000,3,2,0,1,,0
3978,.3752,1942,1,2,1,8,,,3,,8,1,,1,,0,,,,0,0,0,0,0,0,0,0,3,0,68,,0,0,0,,,,,,,,,,,,1968,3,5,3,,,,,,,,,0,,,,0,1,,1,,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,48000,,2,,,2,0,1000,0,1,,,,,,,,,2,,1,1,0,1,0,0,0,0,0,0,0,0,,,,4,1,1,,,1,71,6,4,11,3,1,2,1,3,1,12,1,1,4,9,1,93,0,0,0,0,3,5,1,,,.3491,0,,,0,48000,4,4,1,0,,0
